mechanism,missing_pct,method,feature,mae,rmse
MCAR,10,iterative,age,7.1391941932636875,8.930057182322185
MCAR,10,iterative,creatinine_phosphokinase,587.662993690498,721.9583606443941
MCAR,10,iterative,ejection_fraction,6.072656753395225,8.519985118424833
MCAR,10,iterative,platelets,63784.86826818606,86770.15678058888
MCAR,10,iterative,serum_creatinine,0.42284284449692877,0.5980713229965431
MCAR,10,iterative,serum_sodium,3.3887926729786897,4.843479604582384
MCAR,10,iterative,time,62.552477772059326,77.11167470820136
MCAR,20,iterative,age,8.639945020209213,10.611620052413612
MCAR,20,iterative,creatinine_phosphokinase,491.35959613106996,760.1448461731295
MCAR,20,iterative,ejection_fraction,9.728099269184368,12.139810044963966
MCAR,20,iterative,platelets,56770.16722640876,81228.5309196626
MCAR,20,iterative,serum_creatinine,0.6115871316292295,1.3028220599609261
MCAR,20,iterative,serum_sodium,3.1347441413447865,4.238591608877764
MCAR,20,iterative,time,70.65049130142178,78.55257850272604
MCAR,30,iterative,age,9.371799146549217,11.679136910735918
MCAR,30,iterative,creatinine_phosphokinase,512.5688815940443,728.2459651478239
MCAR,30,iterative,ejection_fraction,8.571551413763961,11.10933913264245
MCAR,30,iterative,platelets,63872.634382759556,96899.07103376542
MCAR,30,iterative,serum_creatinine,0.6182695035764316,1.2419629596711528
MCAR,30,iterative,serum_sodium,2.9849874917653825,3.9545915248904544
MCAR,30,iterative,time,67.08382489659695,79.30533722445048
